Date,timeOpen,timeHigh, open , high , low , close , volume , marketCap 
28-May-25,12:00:00 AM,12:41:00 PM,95.96 ,97.43 ,93.59 ,95.30 ,"409,308,570","7,234,342,339"
27-May-25,12:00:00 AM,8:37:00 PM,95.01 ,96.98 ,93.25 ,95.96 ,"461,941,241","7,283,744,240"
26-May-25,12:00:00 AM,12:58:00 PM,95.66 ,97.57 ,94.51 ,95.01 ,"359,429,190","7,210,970,875"
25-May-25,12:00:00 AM,12:36:00 AM,95.69 ,96.04 ,93.32 ,95.66 ,"373,036,618","7,259,848,450"
24-May-25,12:00:00 AM,10:58:00 AM,95.14 ,97.77 ,95.03 ,95.69 ,"362,386,410","7,261,627,049"
23-May-25,12:00:00 AM,3:10:00 AM,100.28 ,102.83 ,94.85 ,95.14 ,"683,087,073","7,219,851,223"
22-May-25,12:00:00 AM,10:45:00 PM,97.26 ,100.88 ,97.14 ,100.28 ,"689,339,568","7,609,720,057"
21-May-25,12:00:00 AM,4:52:00 PM,94.40 ,98.28 ,93.71 ,97.26 ,"652,438,243","7,380,094,799"
20-May-25,12:00:00 AM,2:22:00 AM,98.34 ,99.54 ,92.53 ,94.40 ,"704,464,955","7,162,607,688"
19-May-25,12:00:00 AM,12:00:00 AM,101.14 ,101.14 ,94.54 ,98.34 ,"559,403,328","7,461,590,470"
18-May-25,12:00:00 AM,4:14:00 PM,96.29 ,102.24 ,96.14 ,101.18 ,"529,675,531","7,673,364,350"
17-May-25,12:00:00 AM,6:56:00 AM,99.48 ,101.08 ,95.77 ,96.29 ,"503,355,643","7,305,049,039"
16-May-25,12:00:00 AM,5:04:00 PM,99.15 ,102.11 ,98.41 ,99.48 ,"484,569,633","7,546,670,145"
15-May-25,12:00:00 AM,12:53:00 AM,101.12 ,101.82 ,95.88 ,99.15 ,"655,626,582","7,521,475,818"
14-May-25,12:00:00 AM,7:53:00 AM,103.56 ,105.07 ,98.73 ,101.12 ,"685,905,055","7,670,566,809"
13-May-25,12:00:00 AM,7:49:00 PM,103.93 ,104.90 ,99.71 ,103.56 ,"756,388,508","7,855,071,130"
12-May-25,12:00:00 AM,11:25:00 PM,99.97 ,104.79 ,98.95 ,103.93 ,"876,238,985","7,882,747,293"
11-May-25,12:00:00 AM,1:18:00 AM,105.24 ,105.64 ,98.51 ,99.97 ,"648,329,187","7,582,349,439"
10-May-25,12:00:00 AM,12:37:00 AM,100.44 ,106.15 ,100.44 ,105.24 ,"834,309,329","7,981,615,790"
9-May-25,12:00:00 AM,8:37:00 AM,94.70 ,101.34 ,93.96 ,100.44 ,"830,455,702","7,616,985,538"
8-May-25,12:00:00 AM,9:25:00 PM,89.45 ,95.19 ,89.45 ,94.70 ,"778,491,877","7,181,401,742"
7-May-25,12:00:00 AM,9:43:00 AM,91.87 ,93.20 ,87.31 ,89.45 ,"783,041,527","6,782,925,746"
6-May-25,12:00:00 AM,11:55:00 PM,83.37 ,92.36 ,81.18 ,91.86 ,"649,598,421","6,966,055,369"
5-May-25,12:00:00 AM,8:46:00 AM,85.02 ,89.35 ,82.36 ,83.37 ,"568,505,578","6,321,310,120"
4-May-25,12:00:00 AM,2:31:00 AM,86.67 ,86.87 ,84.94 ,85.02 ,"311,019,376","6,446,432,695"
3-May-25,12:00:00 AM,12:03:00 AM,88.00 ,88.00 ,85.82 ,86.67 ,"249,936,836","6,571,053,786"
2-May-25,12:00:00 AM,3:07:00 AM,88.93 ,90.87 ,87.34 ,88.00 ,"377,793,683","6,671,380,259"
1-May-25,12:00:00 AM,9:13:00 PM,83.52 ,90.88 ,83.47 ,88.93 ,"476,506,479","6,741,599,342"
30-Apr-25,12:00:00 AM,12:18:00 AM,85.47 ,86.53 ,81.77 ,83.51 ,"412,774,299","6,330,833,977"
29-Apr-25,12:00:00 AM,6:01:00 PM,85.73 ,87.24 ,84.69 ,85.47 ,"422,993,505","6,458,103,970"
28-Apr-25,12:00:00 AM,8:19:00 AM,85.53 ,88.02 ,83.93 ,85.73 ,"413,999,132","6,477,719,609"
27-Apr-25,12:00:00 AM,1:18:00 AM,87.11 ,87.57 ,84.73 ,85.53 ,"308,737,031","6,462,706,569"
